 schemaname |          tablename           |                            indexname                            |                                                                                                      indexdef                                                                                                      
 public     | fin_driver_payments          | fin_driver_payments_status_active_idx                           | CREATE INDEX fin_driver_payments_status_active_idx ON public.fin_driver_payments USING btree (status) WHERE (deleted_at IS NULL)
 public     | fin_driver_payments          | idx_fin_driver_payments_driver                                  | CREATE INDEX idx_fin_driver_payments_driver ON public.fin_driver_payments USING btree (driver_id) WHERE (deleted_at IS NULL)
 public     | fin_driver_payments          | idx_fin_driver_payments_tenant                                  | CREATE INDEX idx_fin_driver_payments_tenant ON public.fin_driver_payments USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | fin_toll_transactions        | fin_toll_transactions_tenant_driver_vehicle_date_unique         | CREATE UNIQUE INDEX fin_toll_transactions_tenant_driver_vehicle_date_unique ON public.fin_toll_transactions USING btree (tenant_id, driver_id, vehicle_id, toll_date) WHERE (deleted_at IS NULL)
 public     | fin_traffic_fines            | fin_traffic_fines_status_active_idx                             | CREATE INDEX fin_traffic_fines_status_active_idx ON public.fin_traffic_fines USING btree (status) WHERE (deleted_at IS NULL)
 public     | fin_traffic_fines            | fin_traffic_fines_tenant_id_fine_reference_key                  | CREATE UNIQUE INDEX fin_traffic_fines_tenant_id_fine_reference_key ON public.fin_traffic_fines USING btree (tenant_id, fine_reference) WHERE (deleted_at IS NULL)
 public     | fin_transactions             | fin_transactions_status_active_idx                              | CREATE INDEX fin_transactions_status_active_idx ON public.fin_transactions USING btree (status) WHERE (deleted_at IS NULL)
 public     | fin_transactions             | idx_fin_transactions_account                                    | CREATE INDEX idx_fin_transactions_account ON public.fin_transactions USING btree (account_id) WHERE (deleted_at IS NULL)
 public     | fin_transactions             | idx_fin_transactions_tenant                                     | CREATE INDEX idx_fin_transactions_tenant ON public.fin_transactions USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_assignments      | flt_vehicle_assignments_status_active_idx                       | CREATE INDEX flt_vehicle_assignments_status_active_idx ON public.flt_vehicle_assignments USING btree (status) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_assignments      | flt_vehicle_assignments_tenant_driver_vehicle_start_uq          | CREATE UNIQUE INDEX flt_vehicle_assignments_tenant_driver_vehicle_start_uq ON public.flt_vehicle_assignments USING btree (tenant_id, driver_id, vehicle_id, start_date) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_assignments      | idx_flt_vehicle_assignments_driver                              | CREATE INDEX idx_flt_vehicle_assignments_driver ON public.flt_vehicle_assignments USING btree (driver_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_assignments      | idx_flt_vehicle_assignments_tenant                              | CREATE INDEX idx_flt_vehicle_assignments_tenant ON public.flt_vehicle_assignments USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_assignments      | idx_flt_vehicle_assignments_vehicle                             | CREATE INDEX idx_flt_vehicle_assignments_vehicle ON public.flt_vehicle_assignments USING btree (vehicle_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_events           | flt_vehicle_events_severity_active_idx                          | CREATE INDEX flt_vehicle_events_severity_active_idx ON public.flt_vehicle_events USING btree (severity) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_expenses         | flt_vehicle_expenses_reimbursed_active_idx                      | CREATE INDEX flt_vehicle_expenses_reimbursed_active_idx ON public.flt_vehicle_expenses USING btree (reimbursed) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_expenses         | flt_vehicle_expenses_reimbursed_pending_idx                     | CREATE INDEX flt_vehicle_expenses_reimbursed_pending_idx ON public.flt_vehicle_expenses USING btree (reimbursed) WHERE ((deleted_at IS NULL) AND (reimbursed = false))
 public     | flt_vehicle_insurances       | flt_vehicle_insurances_end_date_active_idx                      | CREATE INDEX flt_vehicle_insurances_end_date_active_idx ON public.flt_vehicle_insurances USING btree (end_date) WHERE ((deleted_at IS NULL) AND (is_active = true))
 public     | flt_vehicle_insurances       | flt_vehicle_insurances_is_active_active_idx                     | CREATE INDEX flt_vehicle_insurances_is_active_active_idx ON public.flt_vehicle_insurances USING btree (is_active) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_insurances       | flt_vehicle_insurances_is_active_idx                            | CREATE INDEX flt_vehicle_insurances_is_active_idx ON public.flt_vehicle_insurances USING btree (is_active) WHERE (deleted_at IS NULL)
 public     | flt_vehicle_insurances       | flt_vehicle_insurances_tenant_policy_uq                         | CREATE UNIQUE INDEX flt_vehicle_insurances_tenant_policy_uq ON public.flt_vehicle_insurances USING btree (tenant_id, policy_number) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | flt_vehicles_status_active_idx                                  | CREATE INDEX flt_vehicles_status_active_idx ON public.flt_vehicles USING btree (status) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | flt_vehicles_tenant_plate_uq                                    | CREATE UNIQUE INDEX flt_vehicles_tenant_plate_uq ON public.flt_vehicles USING btree (tenant_id, license_plate) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | flt_vehicles_tenant_vin_uq                                      | CREATE UNIQUE INDEX flt_vehicles_tenant_vin_uq ON public.flt_vehicles USING btree (tenant_id, vin) WHERE ((deleted_at IS NULL) AND (vin IS NOT NULL))
 public     | flt_vehicles                 | idx_flt_vehicles_owner                                          | CREATE INDEX idx_flt_vehicles_owner ON public.flt_vehicles USING btree (owner_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | idx_flt_vehicles_status                                         | CREATE INDEX idx_flt_vehicles_status ON public.flt_vehicles USING btree (status) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | idx_flt_vehicles_tenant                                         | CREATE INDEX idx_flt_vehicles_tenant ON public.flt_vehicles USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | flt_vehicles                 | idx_flt_vehicles_vin                                            | CREATE UNIQUE INDEX idx_flt_vehicles_vin ON public.flt_vehicles USING btree (vin) WHERE (deleted_at IS NULL)
 public     | rev_driver_revenues          | rev_driver_revenues_tenant_id_driver_id_period_start_key        | CREATE UNIQUE INDEX rev_driver_revenues_tenant_id_driver_id_period_start_key ON public.rev_driver_revenues USING btree (tenant_id, driver_id, period_start) WHERE (deleted_at IS NULL)
 public     | rev_reconciliations          | rev_reconciliations_status_active_idx                           | CREATE INDEX rev_reconciliations_status_active_idx ON public.rev_reconciliations USING btree (status) WHERE (deleted_at IS NULL)
 public     | rev_reconciliations          | rev_reconciliations_tenant_id_import_id_reconciliation_date_key | CREATE UNIQUE INDEX rev_reconciliations_tenant_id_import_id_reconciliation_date_key ON public.rev_reconciliations USING btree (tenant_id, import_id, reconciliation_date) WHERE (deleted_at IS NULL)
 public     | rev_revenue_imports          | rev_revenue_imports_status_active_idx                           | CREATE INDEX rev_revenue_imports_status_active_idx ON public.rev_revenue_imports USING btree (status) WHERE (deleted_at IS NULL)
 public     | rev_revenue_imports          | rev_revenue_imports_tenant_id_import_reference_key              | CREATE UNIQUE INDEX rev_revenue_imports_tenant_id_import_reference_key ON public.rev_revenue_imports USING btree (tenant_id, import_reference) WHERE (deleted_at IS NULL)
 public     | rid_driver_blacklists        | rid_driver_blacklists_status_active_idx                         | CREATE INDEX rid_driver_blacklists_status_active_idx ON public.rid_driver_blacklists USING btree (status) WHERE (deleted_at IS NULL)
 public     | rid_driver_blacklists        | rid_driver_blacklists_tenant_driver_active_key                  | CREATE UNIQUE INDEX rid_driver_blacklists_tenant_driver_active_key ON public.rid_driver_blacklists USING btree (tenant_id, driver_id) WHERE ((deleted_at IS NULL) AND (status = 'active'::text))
 public     | rid_driver_cooperation_terms | rid_driver_cooperation_terms_tenant_driver_version_key          | CREATE UNIQUE INDEX rid_driver_cooperation_terms_tenant_driver_version_key ON public.rid_driver_cooperation_terms USING btree (tenant_id, driver_id, terms_version) WHERE (deleted_at IS NULL)
 public     | rid_driver_documents         | idx_rid_driver_documents_driver                                 | CREATE INDEX idx_rid_driver_documents_driver ON public.rid_driver_documents USING btree (driver_id) WHERE (deleted_at IS NULL)
 public     | rid_driver_documents         | idx_rid_driver_documents_tenant                                 | CREATE INDEX idx_rid_driver_documents_tenant ON public.rid_driver_documents USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | rid_driver_documents         | rid_driver_documents_driver_type_uq                             | CREATE UNIQUE INDEX rid_driver_documents_driver_type_uq ON public.rid_driver_documents USING btree (driver_id, document_type) WHERE (deleted_at IS NULL)
 public     | rid_driver_languages         | rid_driver_languages_lang_idx                                   | CREATE INDEX rid_driver_languages_lang_idx ON public.rid_driver_languages USING btree (language_code) WHERE (deleted_at IS NULL)
 public     | rid_driver_languages         | rid_driver_languages_unique                                     | CREATE UNIQUE INDEX rid_driver_languages_unique ON public.rid_driver_languages USING btree (tenant_id, driver_id, language_code) WHERE (deleted_at IS NULL)
 public     | rid_driver_performances      | rid_driver_performances_tenant_driver_period_key                | CREATE UNIQUE INDEX rid_driver_performances_tenant_driver_period_key ON public.rid_driver_performances USING btree (tenant_id, driver_id, period_start) WHERE (deleted_at IS NULL)
 public     | rid_driver_requests          | rid_driver_requests_status_active_idx                           | CREATE INDEX rid_driver_requests_status_active_idx ON public.rid_driver_requests USING btree (status) WHERE (deleted_at IS NULL)
 public     | rid_driver_requests          | rid_driver_requests_tenant_driver_date_type_key                 | CREATE UNIQUE INDEX rid_driver_requests_tenant_driver_date_type_key ON public.rid_driver_requests USING btree (tenant_id, driver_id, request_date, request_type) WHERE (deleted_at IS NULL)
 public     | rid_driver_training          | rid_driver_training_status_active_idx                           | CREATE INDEX rid_driver_training_status_active_idx ON public.rid_driver_training USING btree (status) WHERE (deleted_at IS NULL)
 public     | rid_driver_training          | rid_driver_training_tenant_driver_name_key                      | CREATE UNIQUE INDEX rid_driver_training_tenant_driver_name_key ON public.rid_driver_training USING btree (tenant_id, driver_id, training_name) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | idx_rid_drivers_license                                         | CREATE INDEX idx_rid_drivers_license ON public.rid_drivers USING btree (license_number) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | idx_rid_drivers_tenant                                          | CREATE INDEX idx_rid_drivers_tenant ON public.rid_drivers USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | idx_rid_drivers_tenant_license                                  | CREATE UNIQUE INDEX idx_rid_drivers_tenant_license ON public.rid_drivers USING btree (tenant_id, license_number) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_cooperation_type_idx                                | CREATE INDEX rid_drivers_cooperation_type_idx ON public.rid_drivers USING btree (cooperation_type) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_dob_idx                                             | CREATE INDEX rid_drivers_dob_idx ON public.rid_drivers USING btree (date_of_birth) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_employment_status_idx                               | CREATE INDEX rid_drivers_employment_status_idx ON public.rid_drivers USING btree (employment_status) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_hire_date_idx                                       | CREATE INDEX rid_drivers_hire_date_idx ON public.rid_drivers USING btree (hire_date) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_nationality_idx                                     | CREATE INDEX rid_drivers_nationality_idx ON public.rid_drivers USING btree (nationality) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_tenant_email_uq                                     | CREATE UNIQUE INDEX rid_drivers_tenant_email_uq ON public.rid_drivers USING btree (tenant_id, email) WHERE (deleted_at IS NULL)
 public     | rid_drivers                  | rid_drivers_tenant_license_uq                                   | CREATE UNIQUE INDEX rid_drivers_tenant_license_uq ON public.rid_drivers USING btree (tenant_id, license_number) WHERE (deleted_at IS NULL)
 public     | sch_goals                    | idx_sch_goals_tenant                                            | CREATE INDEX idx_sch_goals_tenant ON public.sch_goals USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | sch_goals                    | sch_goals_status_active_idx                                     | CREATE INDEX sch_goals_status_active_idx ON public.sch_goals USING btree (status) WHERE (deleted_at IS NULL)
 public     | sch_goals                    | sch_goals_tenant_type_period_assigned_unique                    | CREATE UNIQUE INDEX sch_goals_tenant_type_period_assigned_unique ON public.sch_goals USING btree (tenant_id, goal_type, period_start, assigned_to) WHERE (deleted_at IS NULL)
 public     | sch_maintenance_schedules    | sch_maintenance_schedules_status_active_idx                     | CREATE INDEX sch_maintenance_schedules_status_active_idx ON public.sch_maintenance_schedules USING btree (status) WHERE (deleted_at IS NULL)
 public     | sch_maintenance_schedules    | sch_maintenance_schedules_tenant_vehicle_date_type_unique       | CREATE UNIQUE INDEX sch_maintenance_schedules_tenant_vehicle_date_type_unique ON public.sch_maintenance_schedules USING btree (tenant_id, vehicle_id, scheduled_date, maintenance_type) WHERE (deleted_at IS NULL)
 public     | sch_shifts                   | idx_sch_shifts_driver                                           | CREATE INDEX idx_sch_shifts_driver ON public.sch_shifts USING btree (driver_id) WHERE (deleted_at IS NULL)
 public     | sch_shifts                   | idx_sch_shifts_status                                           | CREATE INDEX idx_sch_shifts_status ON public.sch_shifts USING btree (status) WHERE (deleted_at IS NULL)
 public     | sch_shifts                   | idx_sch_shifts_tenant                                           | CREATE INDEX idx_sch_shifts_tenant ON public.sch_shifts USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | sch_shifts                   | sch_shifts_status_active_idx                                    | CREATE INDEX sch_shifts_status_active_idx ON public.sch_shifts USING btree (status) WHERE (deleted_at IS NULL)
 public     | sch_shifts                   | sch_shifts_tenant_driver_start_unique                           | CREATE UNIQUE INDEX sch_shifts_tenant_driver_start_unique ON public.sch_shifts USING btree (tenant_id, driver_id, start_time) WHERE (deleted_at IS NULL)
 public     | sch_tasks                    | idx_sch_tasks_status_active                                     | CREATE INDEX idx_sch_tasks_status_active ON public.sch_tasks USING btree (status) WHERE (deleted_at IS NULL)
 public     | sch_tasks                    | idx_sch_tasks_tenant                                            | CREATE INDEX idx_sch_tasks_tenant ON public.sch_tasks USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | idx_sup_feedback_category                                       | CREATE INDEX idx_sup_feedback_category ON public.sup_customer_feedback USING btree (category, created_at) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | idx_sup_feedback_driver                                         | CREATE INDEX idx_sup_feedback_driver ON public.sup_customer_feedback USING btree (driver_id, created_at) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | idx_sup_feedback_sentiment                                      | CREATE INDEX idx_sup_feedback_sentiment ON public.sup_customer_feedback USING btree (sentiment_score) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | idx_sup_feedback_tags                                           | CREATE INDEX idx_sup_feedback_tags ON public.sup_customer_feedback USING gin (tags) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | idx_sup_feedback_ticket                                         | CREATE INDEX idx_sup_feedback_ticket ON public.sup_customer_feedback USING btree (ticket_id, service_type_v2) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | sup_customer_feedback_created_at_idx                            | CREATE INDEX sup_customer_feedback_created_at_idx ON public.sup_customer_feedback USING btree (created_at DESC) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | sup_customer_feedback_rating_idx                                | CREATE INDEX sup_customer_feedback_rating_idx ON public.sup_customer_feedback USING btree (rating) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | sup_customer_feedback_tenant_id_idx                             | CREATE INDEX sup_customer_feedback_tenant_id_idx ON public.sup_customer_feedback USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | sup_customer_feedback        | sup_customer_feedback_tenant_id_submitted_by_idx                | CREATE INDEX sup_customer_feedback_tenant_id_submitted_by_idx ON public.sup_customer_feedback USING btree (tenant_id, submitted_by) WHERE (deleted_at IS NULL)
 public     | sup_ticket_messages          | idx_sup_messages_sender                                         | CREATE INDEX idx_sup_messages_sender ON public.sup_ticket_messages USING btree (sender_id) WHERE (deleted_at IS NULL)
 public     | sup_ticket_messages          | idx_sup_messages_threading                                      | CREATE INDEX idx_sup_messages_threading ON public.sup_ticket_messages USING btree (ticket_id, parent_message_id) WHERE (deleted_at IS NULL)
 public     | sup_ticket_messages          | idx_sup_messages_type                                           | CREATE INDEX idx_sup_messages_type ON public.sup_ticket_messages USING btree (message_type, sent_at) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_analytics                                       | CREATE INDEX idx_sup_tickets_analytics ON public.sup_tickets USING btree (source_platform, raised_by_type) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_filtering                                       | CREATE INDEX idx_sup_tickets_filtering ON public.sup_tickets USING btree (status_v2, priority_v2) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_priority                                        | CREATE INDEX idx_sup_tickets_priority ON public.sup_tickets USING btree (priority) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_sla                                             | CREATE INDEX idx_sup_tickets_sla ON public.sup_tickets USING btree (category, status_v2, sla_due_at) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_status                                          | CREATE INDEX idx_sup_tickets_status ON public.sup_tickets USING btree (status) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_tenant                                          | CREATE INDEX idx_sup_tickets_tenant ON public.sup_tickets USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | idx_sup_tickets_workload                                        | CREATE INDEX idx_sup_tickets_workload ON public.sup_tickets USING btree (assigned_to, status_v2) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | sup_tickets_priority_active_idx                                 | CREATE INDEX sup_tickets_priority_active_idx ON public.sup_tickets USING btree (priority) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | sup_tickets_status_active_idx                                   | CREATE INDEX sup_tickets_status_active_idx ON public.sup_tickets USING btree (status) WHERE (deleted_at IS NULL)
 public     | sup_tickets                  | sup_tickets_tenant_id_raised_by_created_at_deleted_at_key       | CREATE UNIQUE INDEX sup_tickets_tenant_id_raised_by_created_at_deleted_at_key ON public.sup_tickets USING btree (tenant_id, raised_by, created_at) WHERE (deleted_at IS NULL)
 public     | trp_client_invoices          | idx_trp_client_invoices_status_active                           | CREATE INDEX idx_trp_client_invoices_status_active ON public.trp_client_invoices USING btree (status) WHERE (deleted_at IS NULL)
 public     | trp_client_invoices          | idx_trp_client_invoices_tenant_invoice_unique                   | CREATE UNIQUE INDEX idx_trp_client_invoices_tenant_invoice_unique ON public.trp_client_invoices USING btree (tenant_id, invoice_number) WHERE (deleted_at IS NULL)
 public     | trp_platform_accounts        | idx_trp_platform_accounts_tenant                                | CREATE INDEX idx_trp_platform_accounts_tenant ON public.trp_platform_accounts USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | trp_platform_accounts        | idx_trp_platform_accounts_tenant_platform_unique                | CREATE UNIQUE INDEX idx_trp_platform_accounts_tenant_platform_unique ON public.trp_platform_accounts USING btree (tenant_id, platform_id) WHERE (deleted_at IS NULL)
 public     | trp_settlements              | idx_trp_settlements_status_active                               | CREATE INDEX idx_trp_settlements_status_active ON public.trp_settlements USING btree (status) WHERE (deleted_at IS NULL)
 public     | trp_settlements              | idx_trp_settlements_tenant                                      | CREATE INDEX idx_trp_settlements_tenant ON public.trp_settlements USING btree (tenant_id) WHERE (deleted_at IS NULL)
 public     | trp_settlements              | idx_trp_settlements_tenant_trip_ref_unique                      | CREATE UNIQUE INDEX idx_trp_settlements_tenant_trip_ref_unique ON public.trp_settlements USING btree (tenant_id, trip_id, settlement_reference) WHERE (deleted_at IS NULL)
 public     | trp_trips                    | idx_trp_trips_driver                                            | CREATE INDEX idx_trp_trips_driver ON public.trp_trips USING btree (driver_id) WHERE (deleted_at IS NULL)
